百色,北海,北流,宾阳,博白,岑溪,崇左,德保,防城港北,富川,扶绥,恭城,贵港,桂林,桂林北,桂林西,桂平,合浦,贺州,金城江,靖西,来宾,来宾北,濑湍,黎塘,柳江,柳州,隆安东,陆川,罗城,鹿寨北,南丹,南宁,南宁东,南宁西,宁明,平果,平南南,凭祥,钦州东,全州南,渠旧,渠黎,融安,融水,容县,三江南,三江县,藤县,田东北,田林,田阳,亭亮,文地,梧州,梧州南,夏石,兴安北,兴业,阳朔,宜州,永福南,玉林,钟山西,
0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,5,5,0,3,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,
0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,2,4,4,0,2,1,0,0,2,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,
0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
0,2,0,1,0,0,0,0,1,0,0,6,1,19,19,19,1,0,10,0,0,6,0,0,1,8,8,0,0,0,2,0,7,7,7,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,5,
0,2,0,1,0,0,0,0,1,0,0,6,1,19,19,19,1,0,10,0,0,6,0,0,1,8,8,0,0,0,0,0,7,7,7,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,3,0,5,
1,1,0,7,0,0,0,0,0,0,0,0,10,1,1,0,8,1,0,0,0,2,2,0,7,3,3,0,0,0,0,0,13,13,13,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,32,0,0,0,0,0,0,1,0,0,
13,1,0,7,0,0,0,0,0,0,0,0,4,3,3,3,2,0,0,0,0,4,4,0,7,5,5,0,0,0,2,0,15,15,15,0,11,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,7,7,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,2,0,6,0,0,0,0,0,0,0,0,5,2,2,0,4,0,0,0,0,4,4,0,6,4,4,9,0,0,1,0,16,16,16,0,9,5,0,2,0,0,0,0,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,1,3,0,1,0,0,0,1,0,0,5,1,1,1,0,0,1,2,0,3,0,0,3,3,3,0,6,0,1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,6,0,
16,8,1,18,0,2,0,0,1,2,0,0,47,3,3,3,25,7,4,0,0,5,5,0,18,8,8,5,0,0,0,0,0,59,59,0,10,29,2,9,0,0,0,0,0,2,1,1,16,6,0,8,0,0,0,0,0,0,0,0,0,1,4,0,
16,8,1,0,0,0,0,0,0,0,0,0,47,0,0,0,25,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,59,59,0,10,0,2,9,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,4,0,0,0,0,1,0,0,1,1,16,16,0,0,0,1,0,0,7,7,0,4,13,13,0,0,0,1,0,12,12,12,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
1,0,0,5,0,0,0,0,0,0,0,0,11,4,4,4,0,0,0,1,0,5,5,0,5,5,5,0,5,0,2,0,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,
0,0,0,1,0,0,0,0,0,0,0,1,0,22,21,23,0,0,12,0,0,2,2,0,0,4,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,3,0,0,0,5,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,
3,1,0,4,0,0,0,0,0,0,0,5,2,21,21,21,0,1,4,0,0,14,14,0,4,19,19,1,0,0,6,0,17,17,17,0,3,0,0,1,3,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,3,2,1,0,0,0,3,
0,0,1,7,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,4,0,0,9,0,0,16,16,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,
0,0,0,2,0,0,0,0,0,0,0,7,0,20,20,0,0,0,19,0,0,2,2,0,2,5,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,
